direction,distance,buffer_no,buffer_id,area
15,0.00000000000,0,1,18536.55847590000
45,0.00000000000,0,2,15894.73244520000
75,0.00000000000,0,3,12460.96917690000
285,0.00000000000,0,4,12754.23202210000
315,0.00000000000,0,5,10741.62420470000
345,0.00000000000,0,6,14380.29911160000
15,0.25000000000,1,7,1050.65975086000
45,0.25000000000,1,8,1456.18748252000
75,0.25000000000,1,9,181.99355543800
285,0.25000000000,1,10,517.11695654300
315,0.25000000000,1,11,803.77488864500
345,0.25000000000,1,12,571.13783548200
15,0.50000000000,2,13,766.88500253900
45,0.50000000000,2,14,1081.53354087000
75,0.50000000000,2,15,153.94476020600
285,0.50000000000,2,16,374.85299250000
315,0.50000000000,2,17,633.94958256000
345,0.50000000000,2,18,416.92408492800
15,0.75000000000,3,19,609.32898780600
45,0.75000000000,3,20,896.04220345400
75,0.75000000000,3,21,126.34778963300
285,0.75000000000,3,22,339.76809321700
315,0.75000000000,3,23,562.49181219500
345,0.75000000000,3,24,388.41918009600
15,1.00000000000,4,25,422.80085087500
45,1.00000000000,4,26,766.65524527400
75,1.00000000000,4,27,99.02256789100
285,1.00000000000,4,28,413.78422454100
315,1.00000000000,4,29,533.43342068200
345,1.00000000000,4,30,368.99198848500
15,1.25000000000,5,31,304.39285631000
45,1.25000000000,5,32,621.06600708100
75,1.25000000000,5,33,71.00904290170
285,1.25000000000,5,34,446.01123218500
315,1.25000000000,5,35,506.44469374700
345,1.25000000000,5,36,366.02867226300
15,1.50000000000,6,37,250.01854905300
45,1.50000000000,6,38,502.31841523800
75,1.50000000000,6,39,39.85435827250
285,1.50000000000,6,40,449.22439020500
315,1.50000000000,6,41,499.44664118600
345,1.50000000000,6,42,351.01701609600
15,1.75000000000,7,43,232.87779616600
45,1.75000000000,7,44,468.73689222900
285,1.75000000000,7,46,438.74220649900
315,1.75000000000,7,47,481.10936420100
345,1.75000000000,7,48,332.71215574200
15,2.00000000000,8,49,228.70336927300
45,2.00000000000,8,50,411.53423807200
285,2.00000000000,8,51,435.80965835900
315,2.00000000000,8,52,470.37726100900
345,2.00000000000,8,53,303.20022618100
15,2.25000000000,9,54,150.15397525100
45,2.25000000000,9,55,290.43607215400
285,2.25000000000,9,56,420.08781119000
315,2.25000000000,9,57,452.42799441400
345,2.25000000000,9,58,280.12066702700
15,2.50000000000,10,59,113.41411651400
45,2.50000000000,10,60,259.72166788500
285,2.50000000000,10,61,382.72756594400
315,2.50000000000,10,62,430.64189068400
345,2.50000000000,10,63,273.56595866300
15,2.75000000000,11,64,82.85117642070
45,2.75000000000,11,65,243.69634555900
285,2.75000000000,11,66,345.39414129900
315,2.75000000000,11,67,424.17725306900
345,2.75000000000,11,68,267.67611768600
15,3.00000000000,12,69,56.04681803200
45,3.00000000000,12,70,229.55735052200
285,3.00000000000,12,71,317.49987249200
315,3.00000000000,12,72,417.84451122500
345,3.00000000000,12,73,260.24244295900
15,3.25000000000,13,74,19.52260283210
45,3.25000000000,13,75,216.43689524000
285,3.25000000000,13,76,310.59770396400
315,3.25000000000,13,77,414.42021206800
345,3.25000000000,13,78,253.83552044800
45,3.50000000000,14,79,204.68020125300
285,3.50000000000,14,80,320.45384933500
315,3.50000000000,14,81,412.83120883500
345,3.50000000000,14,82,244.80010223500
45,3.75000000000,15,83,192.05011781100
285,3.75000000000,15,84,317.87521890700
315,3.75000000000,15,85,408.96130829700
345,3.75000000000,15,86,235.21428319600
45,4.00000000000,16,87,172.59702824100
285,4.00000000000,16,88,323.30846262400
315,4.00000000000,16,89,401.58200951700
345,4.00000000000,16,90,226.47860812900
45,4.25000000000,17,91,95.20030545190
285,4.25000000000,17,92,337.18914914800
315,4.25000000000,17,93,394.57374312800
345,4.25000000000,17,94,217.91209677900
45,4.50000000000,18,95,48.31778749750
285,4.50000000000,18,96,337.17045530600
315,4.50000000000,18,97,393.41812445300
345,4.50000000000,18,98,209.89197173700
285,4.75000000000,19,99,327.52374853400
315,4.75000000000,19,100,380.45683435800
345,4.75000000000,19,101,202.07909477100
285,5.00000000000,20,102,317.68982462000
315,5.00000000000,20,103,381.06433969800
345,5.00000000000,20,104,194.31368274100
285,5.25000000000,21,105,308.50715477300
315,5.25000000000,21,106,387.52599902400
345,5.25000000000,21,107,186.74401918600
285,5.50000000000,22,108,299.67530849600
315,5.50000000000,22,109,383.87885340600
345,5.50000000000,22,110,178.95069569100
285,5.75000000000,23,111,288.21375512200
315,5.75000000000,23,112,384.84949177500
345,5.75000000000,23,113,171.28835637600
285,6.00000000000,24,114,260.25232740300
315,6.00000000000,24,115,376.26221548800
345,6.00000000000,24,116,163.86237878700
285,6.25000000000,25,117,256.57257895800
315,6.25000000000,25,118,375.34317326800
345,6.25000000000,25,119,156.39334761600
285,6.50000000000,26,120,253.08755854300
315,6.50000000000,26,121,378.70138697200
345,6.50000000000,26,122,149.13131414400
285,6.75000000000,27,123,176.15985888200
315,6.75000000000,27,124,389.38650412100
345,6.75000000000,27,125,141.94080383700
285,7.00000000000,28,126,116.82857096100
315,7.00000000000,28,127,391.31258735300
345,7.00000000000,28,128,134.84633222400
285,7.25000000000,29,129,99.58528498940
315,7.25000000000,29,130,395.94618673400
345,7.25000000000,29,131,127.85247624400
285,7.50000000000,30,132,87.10811900700
315,7.50000000000,30,133,402.15491101800
345,7.50000000000,30,134,120.61553682000
285,7.75000000000,31,135,76.14342863450
315,7.75000000000,31,136,402.90122670400
345,7.75000000000,31,137,113.14398328200
285,8.00000000000,32,138,50.83578026920
315,8.00000000000,32,139,410.51758367300
345,8.00000000000,32,140,105.76331929800
285,8.25000000000,33,141,25.85722821680
315,8.25000000000,33,142,404.40939760200
345,8.25000000000,33,143,97.91341730800
315,8.50000000000,34,145,407.34893917400
345,8.50000000000,34,146,89.32319406380
315,8.75000000000,35,148,396.14088543100
345,8.75000000000,35,149,62.06678309990
315,9.00000000000,36,150,362.14259195700
345,9.00000000000,36,151,48.92480822430
315,9.25000000000,37,152,361.89299933300
345,9.25000000000,37,153,51.12314261950
315,9.50000000000,38,154,337.95925203900
345,9.50000000000,38,155,46.92841443320
315,9.75000000000,39,156,314.44327905900
345,9.75000000000,39,157,36.91105616220
315,10.00000000000,40,158,296.83410502900
345,10.00000000000,40,159,25.53778630240
315,10.25000000000,41,160,278.03955928200
345,10.25000000000,41,161,14.48208945620
315,10.50000000000,42,162,255.05757224000
315,10.75000000000,43,164,248.89269365300
315,11.00000000000,44,165,216.40281397100
315,11.25000000000,45,166,203.11884356000
315,11.50000000000,46,167,193.67632918500
315,11.75000000000,47,168,187.61167174300
315,12.00000000000,48,169,199.82283872600
315,12.25000000000,49,170,203.92980431400
315,12.50000000000,50,171,199.99405614700
315,12.75000000000,51,172,187.08343098500
315,13.00000000000,52,173,165.94498550500
315,13.25000000000,53,174,163.66582688600
315,13.50000000000,54,175,146.34061817300
315,13.75000000000,55,176,123.94555756800
315,14.00000000000,56,177,105.19577624000
315,14.25000000000,57,178,87.65762154580
315,14.50000000000,58,179,71.56557913190
315,14.75000000000,59,180,55.86273961820
315,15.00000000000,60,181,41.19974435960
315,15.25000000000,61,182,26.81253298990
315,15.50000000000,62,183,13.13152737020
